Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
NEDD9	ENST00000379446.5	neural precursor cell expressed, developmentally down-regulated 9 	1164	1	1	0	0	2	0	2	0	1	hsa-miR-18a-5p	0.1107	0.5236	1.2556	-0.90	-0.97	0.83	2005, 2007, 2009, 2011
TMEM170B	ENST00000379426.1	transmembrane protein 170B 	489	2	1	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.1159	0.6181	1.5313	-0.88	-0.88	0.97	2009, 2011
FBXL3	ENST00000355619.5	F-box and leucine-rich repeat protein 3 	842	1	1	0	0	0	0	0	0	1	hsa-miR-18b-5p	0.1083	0.4729	0.8690	-0.80	-0.80	0.84	2009, 2011
RAB9A	ENST00000464506.1	RAB9A, member RAS oncogene family 	742	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0191	0.1261	0.5159	-0.71	-0.71	0.39	NULL
RORA	ENST00000335670.6	RAR-related orphan receptor A 	102	3	1	2	0	0	0	0	0	2	hsa-miR-18a-5p	0.1119	0.5957	1.7816	-0.69	-0.86	0.95	2011
HEATR5A	ENST00000389961.3	HEAT repeat containing 5A 	367	1	1	0	0	0	0	0	0	2	hsa-miR-18a-5p	0.0951	0.4562	1.0731	-0.68	-0.68	0.55	2009, 2011
ERI1	ENST00000250263.7	exoribonuclease 1 	120	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0989	0.4486	0.8663	-0.67	-0.67	0.84	2009, 2011
INADL	ENST00000371158.2	InaD-like (Drosophila) 	96	1	1	0	0	1	0	1	0	0	hsa-miR-18a-5p	0.0660	0.3996	1.3502	-0.65	-0.65	0.24	2007, 2009, 2011
FAM3C	ENST00000359943.3	family with sequence similarity 3, member C 	15	1	1	0	0	1	0	1	0	0	hsa-miR-18a-5p	0.0812	0.3951	0.8286	-0.65	-1.00	0.76	2009, 2011
KCNA1	ENST00000382545.3	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia) 	5	1	1	0	0	2	0	2	0	1	hsa-miR-18a-5p	0.1337	0.6375	1.6307	-0.64	-0.64	0.74	2007, 2009, 2011
MAP7D1	ENST00000316156.4	MAP7 domain containing 1 	1052	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0751	0.3783	0.8570	-0.64	-0.64	0.75	2007, 2009, 2011
DIRAS2	ENST00000375765.3	DIRAS family, GTP-binding RAS-like 2 	5	1	1	0	0	1	0	0	1	2	hsa-miR-18a-5p	0.1289	0.5349	1.0117	-0.62	-0.65	0.83	2009, 2011
BBX	ENST00000415149.2	bobby sox homolog (Drosophila) 	141	1	1	0	0	2	1	1	0	3	hsa-miR-18b-5p	0.0880	0.5231	1.8036	-0.62	-0.73	0.84	2011
ESR1	ENST00000440973.1	estrogen receptor 1 	5	1	1	0	0	2	1	0	1	1	hsa-miR-18a-5p	0.0925	0.5216	1.5947	-0.61	-0.61	0.84	2005, 2007, 2009, 2011
F3	ENST00000334047.7	coagulation factor III (thromboplastin, tissue factor) 	13568	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0124	0.0876	0.4929	-0.60	-0.60	0.37	2011
