Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZNF616	ENST00000330123.5	zinc finger protein 616 	45	9	1	7	1	0	hsa-miR-3200-3p	0.0471	0.3345	1.9571	-2.05	-2.05	N/A
ZNF83	ENST00000594682.2	zinc finger protein 83 	78	8	0	8	0	0	hsa-miR-3200-3p	0.0312	0.2235	1.3501	-1.34	-1.81	N/A
ZNF528	ENST00000391788.2	zinc finger protein 528 	15	4	0	4	0	3	hsa-miR-3200-3p	0.0259	0.1861	1.1524	-0.91	-0.91	N/A
FAM196A	ENST00000522781.1	family with sequence similarity 196, member A 	5	2	2	0	0	0	hsa-miR-3200-3p	0.0906	0.5111	1.4150	-0.88	-0.88	N/A
ZRANB2	ENST00000254821.6	zinc finger, RAN-binding domain containing 2 	4196	2	1	1	0	0	hsa-miR-3200-3p	0.0608	0.3643	1.1914	-0.83	-0.84	N/A
C17orf112	ENST00000441889.1	chromosome 17 open reading frame 112 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0397	0.2392	0.7854	-0.79	-0.79	N/A
TRIM44	ENST00000299413.5	tripartite motif containing 44 	4203	3	2	1	0	1	hsa-miR-3200-3p	0.0451	0.2914	1.1304	-0.76	-0.84	N/A
RRAGA	ENST00000380527.1	Ras-related GTP binding A 	3226	1	1	0	0	0	hsa-miR-3200-3p	0.0226	0.1452	0.5498	-0.74	-0.76	N/A
GLYCTK	ENST00000354773.4	glycerate kinase 	3833	3	0	3	0	0	hsa-miR-3200-3p	0.0433	0.2852	1.1918	-0.70	-0.70	N/A
PP13439	ENST00000331659.2		289	2	1	1	0	0	hsa-miR-3200-3p	0.0553	0.3309	1.1261	-0.69	-0.69	N/A
FPR3	ENST00000339223.4	formyl peptide receptor 3 	5	2	1	1	0	0	hsa-miR-3200-3p	0.0328	0.2204	1.0347	-0.67	-0.67	N/A
C2orf88	ENST00000340623.4	chromosome 2 open reading frame 88 	156	2	1	1	0	0	hsa-miR-3200-3p	0.0286	0.1963	0.9716	-0.67	-0.70	N/A
SLC33A1	ENST00000392845.3	solute carrier family 33 (acetyl-CoA transporter), member 1 	145	5	2	1	2	0	hsa-miR-3200-3p	0.0484	0.2988	1.0468	-0.66	-0.97	N/A
PCDH11X	ENST00000504220.2	protocadherin 11 X-linked 	5	3	1	2	0	0	hsa-miR-3200-3p	0.0327	0.2178	0.9365	-0.63	-0.63	N/A
ZNF28	ENST00000438150.2	zinc finger protein 28 	9	3	0	2	1	0	hsa-miR-3200-3p	0.0226	0.1624	1.0032	-0.62	-0.62	N/A
CDH8	ENST00000584337.1	cadherin 8, type 2 	11	2	1	0	1	0	hsa-miR-3200-3p	0.0523	0.2941	0.8205	-0.61	-0.61	N/A
REM2	ENST00000267396.4	RAS (RAD and GEM)-like GTP binding 2 	140	1	1	0	0	0	hsa-miR-3200-3p	0.0203	0.1374	0.6469	-0.61	-0.61	N/A
C5orf64	ENST00000505642.1	chromosome 5 open reading frame 64 	5	1	1	0	0	1	hsa-miR-3200-3p	0.0276	0.1764	0.6731	-0.59	-0.59	N/A
CNGA3	ENST00000272602.2	cyclic nucleotide gated channel alpha 3 	5	2	1	1	0	0	hsa-miR-3200-3p	0.0348	0.2337	1.0478	-0.59	-0.59	N/A
AC007405.2	ENST00000409786.1	Uncharacterized protein  	11	2	1	1	0	0	hsa-miR-3200-3p	0.0183	0.1264	0.6435	-0.58	-0.58	N/A
SNX24	ENST00000513881.1	sorting nexin 24 	352	1	1	0	0	1	hsa-miR-3200-3p	0.0299	0.1866	0.6482	-0.57	-0.58	N/A
TNFSF15	ENST00000374045.4	tumor necrosis factor (ligand) superfamily, member 15 	29	2	2	0	0	2	hsa-miR-3200-3p	0.0331	0.2239	1.0572	-0.57	-0.57	N/A
UBE2D2	ENST00000398733.3	ubiquitin-conjugating enzyme E2D 2 	11458	2	0	2	0	0	hsa-miR-3200-3p	0.0568	0.3389	1.0777	-0.57	-0.68	N/A
RSPO2	ENST00000517939.1	R-spondin 2 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0489	0.2754	0.7374	-0.56	-0.56	N/A
PAXIP1-AS2	ENST00000397551.2	PAXIP1 antisense RNA 2 	5	2	1	0	1	1	hsa-miR-3200-3p	0.0082	0.0586	0.3568	-0.56	-0.56	N/A
MATN2	ENST00000254898.5	matrilin 2 	371	1	1	0	0	0	hsa-miR-3200-3p	0.0239	0.1534	0.5725	-0.54	-0.54	N/A
CRISP1	ENST00000335847.4	cysteine-rich secretory protein 1 	5	2	1	0	1	0	hsa-miR-3200-3p	0.0243	0.1554	0.5764	-0.54	-0.55	N/A
RHOA	ENST00000454011.2	ras homolog family member A 	8507	1	1	0	0	0	hsa-miR-3200-3p	0.0122	0.0841	0.4101	-0.54	-0.54	N/A
IMPACT	ENST00000284202.4	impact RWD domain protein 	250	1	1	0	0	1	hsa-miR-3200-3p	0.0397	0.2353	0.7121	-0.53	-0.54	N/A
CYP51A1	ENST00000003100.8	cytochrome P450, family 51, subfamily A, polypeptide 1 	6	1	1	0	0	2	hsa-miR-3200-3p	0.0303	0.1946	0.7759	-0.53	-0.53	N/A
ST6GALNAC3	ENST00000328299.3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 	41	2	1	1	0	1	hsa-miR-3200-3p	0.0840	0.4470	1.2291	-0.53	-0.55	N/A
PROX2	ENST00000556084.2	prospero homeobox 2 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0307	0.2033	0.9163	-0.53	-0.53	N/A
FP15737	ENST00000399967.3		67	1	1	0	0	0	hsa-miR-3200-3p	0.0276	0.1735	0.6080	-0.53	-0.53	N/A
APOL3	ENST00000397293.2	apolipoprotein L, 3 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0162	0.1091	0.4833	-0.52	-0.52	N/A
AFTPH	ENST00000238856.4	aftiphilin 	6	1	1	0	0	2	hsa-miR-3200-3p	0.0225	0.1519	0.7264	-0.51	-0.51	N/A
FAM9B	ENST00000362066.3	family with sequence similarity 9, member B 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0162	0.1086	0.4732	-0.51	-0.51	N/A
TRAT1	ENST00000295756.6	T cell receptor associated transmembrane adaptor 1 	5	2	0	1	1	0	hsa-miR-3200-3p	0.0277	0.1820	0.7819	-0.50	-0.50	N/A
P2RX6	ENST00000402329.3	purinergic receptor P2X, ligand-gated ion channel, 6 	10	1	1	0	0	0	hsa-miR-3200-3p	0.0143	0.0977	0.4671	-0.49	-0.49	N/A
GPR151	ENST00000311104.2	G protein-coupled receptor 151 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0394	0.2341	0.7187	-0.48	-0.48	N/A
POT1	ENST00000357628.3	protection of telomeres 1 	142	1	1	0	0	0	hsa-miR-3200-3p	0.0216	0.1402	0.5446	-0.48	-0.49	N/A
KIAA0319	ENST00000537886.1	KIAA0319 	12	3	2	0	1	2	hsa-miR-3200-3p	0.0575	0.3555	1.3135	-0.47	-0.69	N/A
SYN3	ENST00000358763.2	synapsin III 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0245	0.1570	0.5911	-0.47	-0.47	N/A
SREK1IP1	ENST00000513458.4	SREK1-interacting protein 1 	145	1	1	0	0	1	hsa-miR-3200-3p	0.0629	0.3236	0.7676	-0.47	-0.56	N/A
APOL2	ENST00000358502.5	apolipoprotein L, 2 	12	1	1	0	0	0	hsa-miR-3200-3p	0.0179	0.1219	0.5790	-0.47	-0.47	N/A
ST8SIA1	ENST00000396037.4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 	5	3	1	0	2	1	hsa-miR-3200-3p	0.0457	0.3030	1.4147	-0.47	-0.47	N/A
CDH13	ENST00000566620.1	cadherin 13 	1020	2	0	2	0	1	hsa-miR-3200-3p	0.0199	0.1359	0.6638	-0.47	-0.47	N/A
RNF223	ENST00000453464.2	ring finger protein 223 	5	1	1	0	0	0	hsa-miR-3200-3p	0.0285	0.1781	0.6156	-0.47	-0.47	N/A
PURA	ENST00000331327.3	purine-rich element binding protein A 	367	1	1	0	0	1	hsa-miR-3200-3p	0.0399	0.2410	0.8156	-0.46	-0.49	N/A
