Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
KSR2	ENST00000425217.1	kinase suppressor of ras 2 	22	5	2	1	2	2	hsa-miR-625-5p	0.0173	0.1268	0.8932	-1.69	-1.69	N/A
FN3K	ENST00000300784.7	fructosamine 3 kinase 	141	3	0	2	1	15	hsa-miR-625-5p	0.0145	0.1065	0.7487	-1.63	-1.63	N/A
KIR3DX1	ENST00000335056.3	killer cell immunoglobulin-like receptor, three domains, X1 	5	7	0	0	7	0	hsa-miR-625-5p	0.0167	0.1219	0.8289	-1.60	-1.60	N/A
PAX5	ENST00000358127.4	paired box 5 	5	8	1	0	7	2	hsa-miR-625-5p	0.0149	0.1094	0.7669	-1.43	-1.43	N/A
KMT2D	ENST00000301067.7	lysine (K)-specific methyltransferase 2D 	78	2	0	0	2	4	hsa-miR-625-5p	0.0191	0.1406	1.0080	-1.35	-1.36	N/A
KCNC3	ENST00000376959.2	potassium voltage-gated channel, Shaw-related subfamily, member 3 	5	6	1	2	3	9	hsa-miR-625-5p	0.0190	0.1396	0.9808	-1.31	-1.31	N/A
PCDHGA7	ENST00000518325.1	protocadherin gamma subfamily A, 7 	145	3	2	1	0	1	hsa-miR-625-5p	0.0077	0.0561	0.3869	-1.23	-1.23	N/A
PCDHGA6	ENST00000517434.1	protocadherin gamma subfamily A, 6 	145	3	2	1	0	1	hsa-miR-625-5p	0.0079	0.0577	0.3979	-1.23	-1.23	N/A
HMGA1	ENST00000347617.6	high mobility group AT-hook 1 	2024	3	1	1	1	2	hsa-miR-625-5p	0.0093	0.0684	0.4797	-1.22	-1.22	N/A
SLC6A17	ENST00000331565.4	solute carrier family 6 (neutral amino acid transporter), member 17 	5	4	1	0	3	3	hsa-miR-625-5p	0.0113	0.0831	0.5861	-1.16	-1.16	N/A
PPP2R2D	ENST00000422256.2	protein phosphatase 2, regulatory subunit B, delta 	169	21	0	0	21	51	hsa-miR-625-5p	0.0197	0.1452	1.0368	-1.12	-4.08	N/A
APLN	ENST00000307484.6	apelin 	48	4	2	1	1	0	hsa-miR-625-5p	0.0091	0.0669	0.4676	-1.10	-1.10	N/A
NBPF6	ENST00000294652.8	neuroblastoma breakpoint family, member 6 	5	3	1	0	2	1	hsa-miR-625-5p	0.0060	0.0436	0.3034	-1.08	-1.08	N/A
CRYBB1	ENST00000215939.2	crystallin, beta B1 	5	2	1	0	1	0	hsa-miR-625-5p	0.0043	0.0315	0.2065	-1.08	-1.08	N/A
OVOL2	ENST00000278780.6	ovo-like 2 (Drosophila) 	17	2	2	0	0	0	hsa-miR-625-5p	0.0034	0.0246	0.1684	-1.08	-1.08	N/A
CLDN11	ENST00000064724.3	claudin 11 	1116	2	2	0	0	0	hsa-miR-625-5p	0.0048	0.0353	0.2335	-1.07	-1.07	N/A
VAMP2	ENST00000404970.3	vesicle-associated membrane protein 2 (synaptobrevin 2) 	1840	4	1	1	2	2	hsa-miR-625-5p	0.0093	0.0683	0.4818	-1.07	-1.09	N/A
S100A7A	ENST00000368729.4	S100 calcium binding protein A7A 	5	3	2	1	0	0	hsa-miR-625-5p	0.0082	0.0599	0.4173	-1.07	-1.07	N/A
MPZ	ENST00000533357.1	myelin protein zero 	17	4	0	1	3	3	hsa-miR-625-5p	0.0095	0.0694	0.4785	-1.06	-1.06	N/A
CTSB	ENST00000353047.6	cathepsin B 	23628	4	2	1	1	1	hsa-miR-625-5p	0.0037	0.0268	0.1840	-1.06	-1.25	N/A
NOVA2	ENST00000263257.5	neuro-oncological ventral antigen 2 	7	6	0	2	4	6	hsa-miR-625-5p	0.0142	0.1041	0.7362	-1.04	-1.85	N/A
CALCOCO1	ENST00000548263.1	calcium binding and coiled-coil domain 1 	68	2	1	1	0	1	hsa-miR-625-5p	0.0084	0.0614	0.4293	-1.04	-1.04	N/A
ZBED3	ENST00000255198.2	zinc finger, BED-type containing 3 	399	4	1	1	2	1	hsa-miR-625-5p	0.0105	0.0766	0.5191	-1.03	-1.04	N/A
WNT7B	ENST00000339464.4	wingless-type MMTV integration site family, member 7B 	40	5	0	1	4	0	hsa-miR-625-5p	0.0103	0.0754	0.5218	-1.02	-1.02	N/A
CNTNAP1	ENST00000264638.4	contactin associated protein 1 	821	4	2	0	2	2	hsa-miR-625-5p	0.0066	0.0486	0.3361	-1.02	-1.02	N/A
KCNK12	ENST00000327876.4	potassium channel, subfamily K, member 12 	5	4	1	1	2	2	hsa-miR-625-5p	0.0111	0.0812	0.5709	-1.02	-1.02	N/A
MUC3A	ENST00000319509.7	mucin 3A, cell surface associated 	20	4	1	1	2	2	hsa-miR-625-5p	0.0093	0.0682	0.4723	-1.02	-1.20	N/A
MAP3K9	ENST00000554752.2	mitogen-activated protein kinase kinase kinase 9 	44	5	1	1	3	1	hsa-miR-625-5p	0.0102	0.0749	0.5258	-1.00	-1.15	N/A
