Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
C17orf58	ENST00000536693.1	chromosome 17 open reading frame 58 	48	2	0	1	1	1	1	0	0	0	hsa-miR-22-3p	0.0680	0.4213	1.5523	-1.07	-1.07	< 0.1	NULL
CCDC67	ENST00000525646.1	coiled-coil domain containing 67 	5	1	1	0	0	1	0	1	0	0	hsa-miR-22-3p	0.1430	0.7064	1.5813	-0.99	-0.99	0.44	2009, 2011
KIAA0040	ENST00000423313.1	KIAA0040 	15	1	1	0	0	1	0	1	0	1	hsa-miR-22-3p	0.2012	0.8196	2.0464	-0.90	-0.90	0.59	2011
GRM5	ENST00000418177.2	glutamate receptor, metabotropic 5 	5	2	1	1	0	2	0	1	1	0	hsa-miR-22-3p	0.3249	1.4475	3.4233	-0.88	-0.88	0.93	2011
H3F3C	ENST00000340398.3	H3 histone, family 3C 	7	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1288	0.5424	1.0280	-0.86	-0.91	0.84	2007, 2009, 2011
NAA20	ENST00000310450.4	N(alpha)-acetyltransferase 20, NatB catalytic subunit 	1586	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1761	0.6123	0.9211	-0.84	-0.84	0.74	2005, 2007, 2009, 2011
PDSS1	ENST00000376203.5	prenyl (decaprenyl) diphosphate synthase, subunit 1 	41	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1520	0.5698	0.9073	-0.81	-0.81	0.87	2009, 2011
ZDHHC16	ENST00000345745.5	zinc finger, DHHC-type containing 16 	82	1	1	0	0	1	0	1	0	0	hsa-miR-22-3p	0.0655	0.4039	1.3902	-0.80	-0.80	0.81	2009, 2011
BATF3	ENST00000243440.1	basic leucine zipper transcription factor, ATF-like 3 	212	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1388	0.5437	0.9001	-0.79	-0.79	0.80	2005, 2007, 2009, 2011
EIF4EBP3	ENST00000310331.2	eukaryotic translation initiation factor 4E binding protein 3 	54	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1877	0.6314	0.9325	-0.78	-0.78	0.85	2009, 2011
